Date,Source/Medium,Revenue
26/04/2020,affiliate / cpa,14207.75
27/04/2020,affiliate / cpa,12761.39
28/04/2020,affiliate / cpa,12474.8
29/04/2020,affiliate / cpa,12963.09
30/04/2020,affiliate / cpa,10441.81
01/05/2020,affiliate / cpa,11627.97
02/05/2020,affiliate / cpa,9726.69
03/05/2020,affiliate / cpa,10964.9
04/05/2020,affiliate / cpa,14150.27
05/05/2020,affiliate / cpa,10658.81
06/05/2020,affiliate / cpa,8966.87
07/05/2020,affiliate / cpa,11352.95
08/05/2020,affiliate / cpa,13633.72
09/05/2020,affiliate / cpa,10093.87
10/05/2020,affiliate / cpa,7791.99
11/05/2020,affiliate / cpa,10001.91
12/05/2020,affiliate / cpa,10081.87
13/05/2020,affiliate / cpa,11528.38
14/05/2020,affiliate / cpa,13345.19
15/05/2020,affiliate / cpa,11915.15
16/05/2020,affiliate / cpa,15868.77
17/05/2020,affiliate / cpa,8840.99
18/05/2020,affiliate / cpa,21452.03
19/05/2020,affiliate / cpa,11262.07
20/05/2020,affiliate / cpa,15138.15
21/05/2020,affiliate / cpa,11679.12
22/05/2020,affiliate / cpa,20571.84
23/05/2020,affiliate / cpa,7074.92
24/05/2020,affiliate / cpa,1497.53
25/05/2020,affiliate / cpa,7309.37
26/05/2020,affiliate / cpa,11486.89
27/05/2020,affiliate / cpa,15438.48
28/05/2020,affiliate / cpa,13813.2
29/05/2020,affiliate / cpa,13600.77
30/05/2020,affiliate / cpa,11407.18
31/05/2020,affiliate / cpa,16824.54
01/06/2020,affiliate / cpa,12725.15
02/06/2020,affiliate / cpa,11097.07
03/06/2020,affiliate / cpa,10384.42
04/06/2020,affiliate / cpa,13149.53
05/06/2020,affiliate / cpa,12832.68
06/06/2020,affiliate / cpa,6113.31
07/06/2020,affiliate / cpa,12637.66
08/06/2020,affiliate / cpa,11877.03
09/06/2020,affiliate / cpa,14494.69
10/06/2020,affiliate / cpa,9204.19
11/06/2020,affiliate / cpa,11937.68
12/06/2020,affiliate / cpa,15429.41
13/06/2020,affiliate / cpa,10298.75
14/06/2020,affiliate / cpa,11989.2
15/06/2020,affiliate / cpa,17759.45
16/06/2020,affiliate / cpa,18517.4
17/06/2020,affiliate / cpa,8576.33
18/06/2020,affiliate / cpa,11360.99
19/06/2020,affiliate / cpa,12165.11
20/06/2020,affiliate / cpa,14367
21/06/2020,affiliate / cpa,9263.89
22/06/2020,affiliate / cpa,11855.82
23/06/2020,affiliate / cpa,5589.28
24/06/2020,affiliate / cpa,13220.25
25/06/2020,affiliate / cpa,7785.8
26/06/2020,affiliate / cpa,16926.53
27/06/2020,affiliate / cpa,17795.16
28/06/2020,affiliate / cpa,18210.43
29/06/2020,affiliate / cpa,12005.53
30/06/2020,affiliate / cpa,14464.35
01/07/2020,affiliate / cpa,0
02/07/2020,affiliate / cpa,10867.46
03/07/2020,affiliate / cpa,18493.59
04/07/2020,affiliate / cpa,15126.32
05/07/2020,affiliate / cpa,11886.5
06/07/2020,affiliate / cpa,11979.72
