Date,Source/Medium,Revenue
07/07/2020,affiliate / cpa,10336.41
08/07/2020,affiliate / cpa,8128.77
09/07/2020,affiliate / cpa,8133.3
10/07/2020,affiliate / cpa,15194.36
11/07/2020,affiliate / cpa,10618.31
12/07/2020,affiliate / cpa,14188.89
13/07/2020,affiliate / cpa,8838.9
14/07/2020,affiliate / cpa,10592.34
15/07/2020,affiliate / cpa,10032.02
16/07/2020,affiliate / cpa,6285.53
17/07/2020,affiliate / cpa,8662.69
18/07/2020,affiliate / cpa,13377.15
19/07/2020,affiliate / cpa,8825.01
20/07/2020,affiliate / cpa,16173.06
21/07/2020,affiliate / cpa,11362.95
22/07/2020,affiliate / cpa,7422.92
23/07/2020,affiliate / cpa,11782.82
24/07/2020,affiliate / cpa,7964.74
25/07/2020,affiliate / cpa,11987.77
26/07/2020,affiliate / cpa,10053.84
27/07/2020,affiliate / cpa,9842.35
28/07/2020,affiliate / cpa,4295.03
29/07/2020,affiliate / cpa,9164.31
30/07/2020,affiliate / cpa,13827.62
31/07/2020,affiliate / cpa,9327.54
01/08/2020,affiliate / cpa,12641.52
02/08/2020,affiliate / cpa,15177.54
03/08/2020,affiliate / cpa,4944.17
04/08/2020,affiliate / cpa,4844.75
05/08/2020,affiliate / cpa,10443.59
06/08/2020,affiliate / cpa,14574.43
07/08/2020,affiliate / cpa,5724.11
08/08/2020,affiliate / cpa,21001.36
09/08/2020,affiliate / cpa,8030.13
10/08/2020,affiliate / cpa,12993.44
11/08/2020,affiliate / cpa,15975.13
12/08/2020,affiliate / cpa,11372.92
13/08/2020,affiliate / cpa,6835.95
14/08/2020,affiliate / cpa,11284.68
15/08/2020,affiliate / cpa,7045.9
16/08/2020,affiliate / cpa,9263.44
17/08/2020,affiliate / cpa,16826.16
18/08/2020,affiliate / cpa,11592.35
19/08/2020,affiliate / cpa,10320.93
20/08/2020,affiliate / cpa,12668.16
21/08/2020,affiliate / cpa,8686.49
22/08/2020,affiliate / cpa,13505.88
23/08/2020,affiliate / cpa,12661.26
24/08/2020,affiliate / cpa,9643.07
25/08/2020,affiliate / cpa,7313.9
26/08/2020,affiliate / cpa,13343.83
27/08/2020,affiliate / cpa,6347.29
28/08/2020,affiliate / cpa,13099.7
29/08/2020,affiliate / cpa,8482.94
30/08/2020,affiliate / cpa,11170.65
31/08/2020,affiliate / cpa,14060.8
01/09/2020,affiliate / cpa,5825.5
02/09/2020,affiliate / cpa,10375.47
03/09/2020,affiliate / cpa,18532.09
04/09/2020,affiliate / cpa,7558.17
05/09/2020,affiliate / cpa,14407.73
06/09/2020,affiliate / cpa,14070.94
07/09/2020,affiliate / cpa,17051.01
08/09/2020,affiliate / cpa,13141.3
09/09/2020,affiliate / cpa,11408.35
10/09/2020,affiliate / cpa,21010.65
11/09/2020,affiliate / cpa,12091.04
12/09/2020,affiliate / cpa,15357
13/09/2020,affiliate / cpa,11277.71
14/09/2020,affiliate / cpa,9649.92
15/09/2020,affiliate / cpa,14265.41
16/09/2020,affiliate / cpa,11727.49
17/09/2020,affiliate / cpa,5956.29
18/09/2020,affiliate / cpa,12606.65
19/09/2020,affiliate / cpa,9247.75
20/09/2020,affiliate / cpa,7248.35
21/09/2020,affiliate / cpa,13014.71
22/09/2020,affiliate / cpa,13365.01
23/09/2020,affiliate / cpa,8464.07
24/09/2020,affiliate / cpa,9815.15
25/09/2020,affiliate / cpa,15087.45
26/09/2020,affiliate / cpa,13167.27
27/09/2020,affiliate / cpa,12696.91
28/09/2020,affiliate / cpa,9100.29
29/09/2020,affiliate / cpa,22222.22
30/09/2020,affiliate / cpa,17474.41
01/10/2020,affiliate / cpa,18442.77
02/10/2020,affiliate / cpa,10751.04
03/10/2020,affiliate / cpa,13707.64
04/10/2020,affiliate / cpa,10299.65
05/10/2020,affiliate / cpa,13320.99
06/10/2020,affiliate / cpa,17517.58
07/10/2020,affiliate / cpa,10959.38
08/10/2020,affiliate / cpa,19015.39
09/10/2020,affiliate / cpa,16960.37
10/10/2020,affiliate / cpa,9342.8
11/10/2020,affiliate / cpa,11730.68
12/10/2020,affiliate / cpa,12423.72
13/10/2020,affiliate / cpa,13360.96
14/10/2020,affiliate / cpa,11624.65
15/10/2020,affiliate / cpa,15131.95
16/10/2020,affiliate / cpa,9233.85
17/10/2020,affiliate / cpa,12896.3
18/10/2020,affiliate / cpa,9815.89
19/10/2020,affiliate / cpa,10224.63
20/10/2020,affiliate / cpa,13246.65
21/10/2020,affiliate / cpa,19777.5
22/10/2020,affiliate / cpa,17547.53
26/04/2020,facebook / cpc,9915.31
27/04/2020,facebook / cpc,7670.69
28/04/2020,facebook / cpc,8536.14
29/04/2020,facebook / cpc,11730.94
30/04/2020,facebook / cpc,9923.01
01/05/2020,facebook / cpc,6255.59
02/05/2020,facebook / cpc,8088.98
03/05/2020,facebook / cpc,7620.96
04/05/2020,facebook / cpc,6664.45
05/05/2020,facebook / cpc,7918.28
06/05/2020,facebook / cpc,7792.98
07/05/2020,facebook / cpc,9794.67
08/05/2020,facebook / cpc,9004.99
09/05/2020,facebook / cpc,7122.23
10/05/2020,facebook / cpc,7971.87
11/05/2020,facebook / cpc,8566.73
12/05/2020,facebook / cpc,9436.98
13/05/2020,facebook / cpc,7026.07
14/05/2020,facebook / cpc,8544.2
15/05/2020,facebook / cpc,6035.6
16/05/2020,facebook / cpc,4098.64
17/05/2020,facebook / cpc,8498.96
18/05/2020,facebook / cpc,8535.09
19/05/2020,facebook / cpc,7371.45
20/05/2020,facebook / cpc,11484.65
21/05/2020,facebook / cpc,5279.42
22/05/2020,facebook / cpc,7971.82
23/05/2020,facebook / cpc,7686.15
24/05/2020,facebook / cpc,10447.46
25/05/2020,facebook / cpc,10013.22
26/05/2020,facebook / cpc,7453.36
27/05/2020,facebook / cpc,9238.74
28/05/2020,facebook / cpc,6193.43
29/05/2020,facebook / cpc,5126.08
30/05/2020,facebook / cpc,6628.84
31/05/2020,facebook / cpc,6925.94
01/06/2020,facebook / cpc,8398.38
02/06/2020,facebook / cpc,9252.12
03/06/2020,facebook / cpc,7046.29
04/06/2020,facebook / cpc,6932.3
05/06/2020,facebook / cpc,4922.58
06/06/2020,facebook / cpc,5892.38
07/06/2020,facebook / cpc,4491.86
08/06/2020,facebook / cpc,11850.8
09/06/2020,facebook / cpc,6629.46
10/06/2020,facebook / cpc,6464.18
11/06/2020,facebook / cpc,4880.98
12/06/2020,facebook / cpc,8653.72
13/06/2020,facebook / cpc,4873.06
14/06/2020,facebook / cpc,7379.38
15/06/2020,facebook / cpc,6219.93
16/06/2020,facebook / cpc,7923.15
17/06/2020,facebook / cpc,6261.18
18/06/2020,facebook / cpc,5451.08
19/06/2020,facebook / cpc,7478.94
20/06/2020,facebook / cpc,8069.93
21/06/2020,facebook / cpc,8251.71
22/06/2020,facebook / cpc,7580.83
23/06/2020,facebook / cpc,6638.17
24/06/2020,facebook / cpc,7209.3
25/06/2020,facebook / cpc,6869.46
26/06/2020,facebook / cpc,6634.79
27/06/2020,facebook / cpc,6281.74
28/06/2020,facebook / cpc,5269.55
29/06/2020,facebook / cpc,7453.79
30/06/2020,facebook / cpc,6953.06
01/07/2020,facebook / cpc,5390.76
02/07/2020,facebook / cpc,8310.2
03/07/2020,facebook / cpc,6058.24
04/07/2020,facebook / cpc,7108.71
05/07/2020,facebook / cpc,8380.65
06/07/2020,facebook / cpc,8093.06
07/07/2020,facebook / cpc,9143.83
08/07/2020,facebook / cpc,5251.86
09/07/2020,facebook / cpc,8506.62
10/07/2020,facebook / cpc,5825.01
11/07/2020,facebook / cpc,6720.74
12/07/2020,facebook / cpc,6430.8
13/07/2020,facebook / cpc,7046.87
14/07/2020,facebook / cpc,7496.96
15/07/2020,facebook / cpc,6014.35
16/07/2020,facebook / cpc,9424.85
17/07/2020,facebook / cpc,8222.32
18/07/2020,facebook / cpc,5304.19
19/07/2020,facebook / cpc,10998.23
20/07/2020,facebook / cpc,9811.5
21/07/2020,facebook / cpc,9234.17
22/07/2020,facebook / cpc,7025.99
23/07/2020,facebook / cpc,6611.58
24/07/2020,facebook / cpc,8373.61
25/07/2020,facebook / cpc,6901.07
26/07/2020,facebook / cpc,9695.94
27/07/2020,facebook / cpc,7569.95
28/07/2020,facebook / cpc,8660.16
29/07/2020,facebook / cpc,8513.19
30/07/2020,facebook / cpc,8916.84
31/07/2020,facebook / cpc,7164.67
01/08/2020,facebook / cpc,10762.06
02/08/2020,facebook / cpc,7626.27
03/08/2020,facebook / cpc,8495.68
04/08/2020,facebook / cpc,9968.96
05/08/2020,facebook / cpc,5998.15
06/08/2020,facebook / cpc,5967.19
07/08/2020,facebook / cpc,8583.55
08/08/2020,facebook / cpc,5215.03
09/08/2020,facebook / cpc,11271.6
10/08/2020,facebook / cpc,6726.54
11/08/2020,facebook / cpc,6070.6
12/08/2020,facebook / cpc,10432.04
13/08/2020,facebook / cpc,10643
14/08/2020,facebook / cpc,9094.9
15/08/2020,facebook / cpc,9444.9
16/08/2020,facebook / cpc,7041.46
17/08/2020,facebook / cpc,11444.84
18/08/2020,facebook / cpc,6066.86
19/08/2020,facebook / cpc,7782.34
20/08/2020,facebook / cpc,8974.34
21/08/2020,facebook / cpc,6999.93
22/08/2020,facebook / cpc,8842.56
23/08/2020,facebook / cpc,10926.51
24/08/2020,facebook / cpc,8944.62
25/08/2020,facebook / cpc,6857.69
26/08/2020,facebook / cpc,10624.43
27/08/2020,facebook / cpc,10803.94
28/08/2020,facebook / cpc,8005
29/08/2020,facebook / cpc,8590.89
30/08/2020,facebook / cpc,7489.48
31/08/2020,facebook / cpc,13620.35
01/09/2020,facebook / cpc,9912.28
02/09/2020,facebook / cpc,9137.97
03/09/2020,facebook / cpc,8167.2
04/09/2020,facebook / cpc,9832.48
05/09/2020,facebook / cpc,6751.84
06/09/2020,facebook / cpc,9052.82
07/09/2020,facebook / cpc,7998.37
08/09/2020,facebook / cpc,10333.36
09/09/2020,facebook / cpc,9555.81
10/09/2020,facebook / cpc,8697.31
11/09/2020,facebook / cpc,9701.99
12/09/2020,facebook / cpc,7047.36
13/09/2020,facebook / cpc,6753.08
14/09/2020,facebook / cpc,9483.9
15/09/2020,facebook / cpc,9940.01
16/09/2020,facebook / cpc,10765.96
17/09/2020,facebook / cpc,14056.2
18/09/2020,facebook / cpc,10724.42
19/09/2020,facebook / cpc,7775.01
20/09/2020,facebook / cpc,10172.56
21/09/2020,facebook / cpc,6086.36
22/09/2020,facebook / cpc,9148.2
23/09/2020,facebook / cpc,8334.23
24/09/2020,facebook / cpc,14097.91
25/09/2020,facebook / cpc,8258.43
26/09/2020,facebook / cpc,7654.33
27/09/2020,facebook / cpc,8345.93
28/09/2020,facebook / cpc,7974.54
29/09/2020,facebook / cpc,11906.2
30/09/2020,facebook / cpc,7053.18
01/10/2020,facebook / cpc,7097.64
02/10/2020,facebook / cpc,7744.84
03/10/2020,facebook / cpc,7636.43
04/10/2020,facebook / cpc,12569.62
05/10/2020,facebook / cpc,11471.59
06/10/2020,facebook / cpc,8686.96
07/10/2020,facebook / cpc,6917.9
08/10/2020,facebook / cpc,11226.19
09/10/2020,facebook / cpc,7658.43
10/10/2020,facebook / cpc,5345.78
11/10/2020,facebook / cpc,11560.73
12/10/2020,facebook / cpc,8635.74
13/10/2020,facebook / cpc,11380.8
14/10/2020,facebook / cpc,9791.02
15/10/2020,facebook / cpc,11550.83
16/10/2020,facebook / cpc,7162.64
17/10/2020,facebook / cpc,6888.34
18/10/2020,facebook / cpc,9100.6
19/10/2020,facebook / cpc,6827.52
20/10/2020,facebook / cpc,8325.87
21/10/2020,facebook / cpc,8113.04
22/10/2020,facebook / cpc,9278.44
26/04/2020,(direct) / (none),2710.58
27/04/2020,(direct) / (none),4554.83
28/04/2020,(direct) / (none),4728.7
29/04/2020,(direct) / (none),5535.53
30/04/2020,(direct) / (none),7202.45
01/05/2020,(direct) / (none),6776.28
02/05/2020,(direct) / (none),8216.78
03/05/2020,(direct) / (none),5216.27
04/05/2020,(direct) / (none),3972.78
05/05/2020,(direct) / (none),6583.86
06/05/2020,(direct) / (none),7032.96
07/05/2020,(direct) / (none),7047.64
08/05/2020,(direct) / (none),6579.65
09/05/2020,(direct) / (none),7194.64
10/05/2020,(direct) / (none),6607.25
11/05/2020,(direct) / (none),6684.79
12/05/2020,(direct) / (none),6025.36
13/05/2020,(direct) / (none),6792.63
14/05/2020,(direct) / (none),6697
15/05/2020,(direct) / (none),6372
16/05/2020,(direct) / (none),5465.43
17/05/2020,(direct) / (none),5824.83
18/05/2020,(direct) / (none),1862.27
19/05/2020,(direct) / (none),7178.29
20/05/2020,(direct) / (none),5432.89
21/05/2020,(direct) / (none),6727.44
22/05/2020,(direct) / (none),4550.64
23/05/2020,(direct) / (none),9777.13
24/05/2020,(direct) / (none),10080.02
25/05/2020,(direct) / (none),7722.99
26/05/2020,(direct) / (none),6210.1
27/05/2020,(direct) / (none),7164.84
28/05/2020,(direct) / (none),6127.79
29/05/2020,(direct) / (none),6684.31
30/05/2020,(direct) / (none),8191.61
31/05/2020,(direct) / (none),2375.62
01/06/2020,(direct) / (none),4720.08
02/06/2020,(direct) / (none),6675.59
03/06/2020,(direct) / (none),6529.99
04/06/2020,(direct) / (none),6830.36
05/06/2020,(direct) / (none),6028.69
06/06/2020,(direct) / (none),9662.77
07/06/2020,(direct) / (none),3839.75
08/06/2020,(direct) / (none),6857.57
09/06/2020,(direct) / (none),5200.46
10/06/2020,(direct) / (none),7191.9
11/06/2020,(direct) / (none),5511.39
12/06/2020,(direct) / (none),6480.08
13/06/2020,(direct) / (none),6942.2
14/06/2020,(direct) / (none),5603.7
15/06/2020,(direct) / (none),3451.62
16/06/2020,(direct) / (none),3570.94
17/06/2020,(direct) / (none),6850.98
18/06/2020,(direct) / (none),6580.31
19/06/2020,(direct) / (none),7434.53
20/06/2020,(direct) / (none),7695.72
21/06/2020,(direct) / (none),6989.95
22/06/2020,(direct) / (none),6413.54
23/06/2020,(direct) / (none),8554.06
24/06/2020,(direct) / (none),7075.13
25/06/2020,(direct) / (none),8239.47
26/06/2020,(direct) / (none),6018.97
27/06/2020,(direct) / (none),5652.16
28/06/2020,(direct) / (none),3434.9
29/06/2020,(direct) / (none),5547.3
30/06/2020,(direct) / (none),6005.12
01/07/2020,(direct) / (none),9918.68
02/07/2020,(direct) / (none),8112.36
03/07/2020,(direct) / (none),4802.44
04/07/2020,(direct) / (none),5758.87
05/07/2020,(direct) / (none),4196.35
06/07/2020,(direct) / (none),6102.9
07/07/2020,(direct) / (none),6489.16
08/07/2020,(direct) / (none),6725.35
09/07/2020,(direct) / (none),8909.05
10/07/2020,(direct) / (none),5147.85
11/07/2020,(direct) / (none),9283.92
12/07/2020,(direct) / (none),4506.66
13/07/2020,(direct) / (none),6584
14/07/2020,(direct) / (none),6453.67
15/07/2020,(direct) / (none),7676.42
16/07/2020,(direct) / (none),9952.88
17/07/2020,(direct) / (none),9518.94
18/07/2020,(direct) / (none),6879.28
19/07/2020,(direct) / (none),7475.57
20/07/2020,(direct) / (none),2758.54
21/07/2020,(direct) / (none),6923.57
22/07/2020,(direct) / (none),7859.22
23/07/2020,(direct) / (none),7283.03
24/07/2020,(direct) / (none),8127.63
25/07/2020,(direct) / (none),7931.68
26/07/2020,(direct) / (none),7016.26
27/07/2020,(direct) / (none),6715.68
28/07/2020,(direct) / (none),9363.66
29/07/2020,(direct) / (none),8565.67
30/07/2020,(direct) / (none),6615.62
31/07/2020,(direct) / (none),8259.29
01/08/2020,(direct) / (none),8630.44
02/08/2020,(direct) / (none),4879.28
03/08/2020,(direct) / (none),8771.39
04/08/2020,(direct) / (none),8725.73
05/08/2020,(direct) / (none),7296.41
06/08/2020,(direct) / (none),7607.29
07/08/2020,(direct) / (none),10319.31
08/08/2020,(direct) / (none),4301.06
09/08/2020,(direct) / (none),8208.22
10/08/2020,(direct) / (none),5875.44
11/08/2020,(direct) / (none),4948.36
12/08/2020,(direct) / (none),6952.68
13/08/2020,(direct) / (none),10219.33
14/08/2020,(direct) / (none),6709.78
15/08/2020,(direct) / (none),11426
16/08/2020,(direct) / (none),6486.16
17/08/2020,(direct) / (none),3965.21
18/08/2020,(direct) / (none),5616.41
19/08/2020,(direct) / (none),6221.8
20/08/2020,(direct) / (none),7042.48
21/08/2020,(direct) / (none),8969.41
22/08/2020,(direct) / (none),8057.78
23/08/2020,(direct) / (none),6745.9
24/08/2020,(direct) / (none),6100.86
25/08/2020,(direct) / (none),7713.4
26/08/2020,(direct) / (none),10618.56
27/08/2020,(direct) / (none),8683.45
28/08/2020,(direct) / (none),7478.88
29/08/2020,(direct) / (none),12683.47
30/08/2020,(direct) / (none),7088.34
31/08/2020,(direct) / (none),5848.58
01/09/2020,(direct) / (none),9500.03
02/09/2020,(direct) / (none),7836.14
03/09/2020,(direct) / (none),7633.9
04/09/2020,(direct) / (none),12863.39
05/09/2020,(direct) / (none),9544.77
06/09/2020,(direct) / (none),7217.68
07/09/2020,(direct) / (none),6730.23
08/09/2020,(direct) / (none),8352.13
09/09/2020,(direct) / (none),7723.31
10/09/2020,(direct) / (none),4922.55
11/09/2020,(direct) / (none),10294.04
12/09/2020,(direct) / (none),10236.95
13/09/2020,(direct) / (none),6294.96
14/09/2020,(direct) / (none),9119.23
15/09/2020,(direct) / (none),8047.92
16/09/2020,(direct) / (none),11410.58
17/09/2020,(direct) / (none),12638.31
18/09/2020,(direct) / (none),14046.28
19/09/2020,(direct) / (none),10306.5
20/09/2020,(direct) / (none),12815.63
21/09/2020,(direct) / (none),7643.96
22/09/2020,(direct) / (none),8327.6
23/09/2020,(direct) / (none),9092.1
24/09/2020,(direct) / (none),12051.19
25/09/2020,(direct) / (none),8169.11
26/09/2020,(direct) / (none),8599.61
27/09/2020,(direct) / (none),5616.66
28/09/2020,(direct) / (none),9412.31
29/09/2020,(direct) / (none),4082.88
30/09/2020,(direct) / (none),4847.44
01/10/2020,(direct) / (none),8261.61
02/10/2020,(direct) / (none),12847.76
03/10/2020,(direct) / (none),10760.85
04/10/2020,(direct) / (none),8548.87
05/10/2020,(direct) / (none),9262.81
06/10/2020,(direct) / (none),9738.64
07/10/2020,(direct) / (none),7850.07
08/10/2020,(direct) / (none),10811.91
09/10/2020,(direct) / (none),8860.99
10/10/2020,(direct) / (none),9407.63
11/10/2020,(direct) / (none),9151.77
12/10/2020,(direct) / (none),5147.25
13/10/2020,(direct) / (none),9063.16
14/10/2020,(direct) / (none),9460.12
15/10/2020,(direct) / (none),5993.92
16/10/2020,(direct) / (none),10840.42
17/10/2020,(direct) / (none),10075
18/10/2020,(direct) / (none),6366.96
19/10/2020,(direct) / (none),11100.78
20/10/2020,(direct) / (none),7340.66
21/10/2020,(direct) / (none),4836.67
22/10/2020,(direct) / (none),5777.67
26/04/2020,google / organic,3872.63
27/04/2020,google / organic,7958.26
28/04/2020,google / organic,7577.43
29/04/2020,google / organic,7384.93
30/04/2020,google / organic,10137.62
01/05/2020,google / organic,14681.55
02/05/2020,google / organic,13222.79
03/05/2020,google / organic,9916.39
04/05/2020,google / organic,7496.41
05/05/2020,google / organic,11485.25
06/05/2020,google / organic,12775.88
07/05/2020,google / organic,10531.93
08/05/2020,google / organic,10889.85
09/05/2020,google / organic,13114.36
10/05/2020,google / organic,11468.31
11/05/2020,google / organic,11797.88
12/05/2020,google / organic,8952.19
13/05/2020,google / organic,13021.38
14/05/2020,google / organic,11856.44
15/05/2020,google / organic,13533.87
16/05/2020,google / organic,15503.42
17/05/2020,google / organic,9796.5
18/05/2020,google / organic,3035.16
19/05/2020,google / organic,14975.27
20/05/2020,google / organic,7218.18
21/05/2020,google / organic,15765.04
22/05/2020,google / organic,8391.97
23/05/2020,google / organic,18690.4
24/05/2020,google / organic,14892.33
25/05/2020,google / organic,11515.83
26/05/2020,google / organic,11262.3
27/05/2020,google / organic,12560.2
28/05/2020,google / organic,13085.95
29/05/2020,google / organic,17131.06
30/05/2020,google / organic,16056.62
31/05/2020,google / organic,4307.38
01/06/2020,google / organic,7288.46
02/06/2020,google / organic,10350.36
03/06/2020,google / organic,12878.87
04/06/2020,google / organic,13293.3
05/06/2020,google / organic,13213.82
06/06/2020,google / organic,22514.36
07/06/2020,google / organic,9387.97
08/06/2020,google / organic,9537.22
09/06/2020,google / organic,10455.93
10/06/2020,google / organic,14297.79
11/06/2020,google / organic,12490.74
12/06/2020,google / organic,10698.8
13/06/2020,google / organic,16709.85
14/06/2020,google / organic,10754.89
15/06/2020,google / organic,7380.1
16/06/2020,google / organic,6251.7
17/06/2020,google / organic,13776.92
18/06/2020,google / organic,14737.42
19/06/2020,google / organic,13867.02
20/06/2020,google / organic,13388.92
21/06/2020,google / organic,12849.38
22/06/2020,google / organic,11372.87
23/06/2020,google / organic,17541.41
24/06/2020,google / organic,13900.4
25/06/2020,google / organic,16999.06
26/06/2020,google / organic,11819.48
27/06/2020,google / organic,11926.24
28/06/2020,google / organic,8426.75
29/06/2020,google / organic,10025.83
30/06/2020,google / organic,11870.58
01/07/2020,google / organic,23940.06
02/07/2020,google / organic,14040.61
03/07/2020,google / organic,10287.97
04/07/2020,google / organic,10610.01
05/07/2020,google / organic,6978.48
06/07/2020,google / organic,11111.91
07/07/2020,google / organic,10154.88
08/07/2020,google / organic,15196.97
09/07/2020,google / organic,15560.86
10/07/2020,google / organic,10641.56
11/07/2020,google / organic,19771.73
12/07/2020,google / organic,9160.64
13/07/2020,google / organic,12832.35
14/07/2020,google / organic,11882.4
15/07/2020,google / organic,17148.71
16/07/2020,google / organic,16133.96
17/07/2020,google / organic,16467.92
18/07/2020,google / organic,16343.36
19/07/2020,google / organic,11116.27
20/07/2020,google / organic,3866.89
21/07/2020,google / organic,10772.13
22/07/2020,google / organic,15007.11
23/07/2020,google / organic,16020.9
24/07/2020,google / organic,12879.11
25/07/2020,google / organic,15682.32
26/07/2020,google / organic,10846.56
27/07/2020,google / organic,12080.5
28/07/2020,google / organic,15009.29
29/07/2020,google / organic,15065.54
30/07/2020,google / organic,11038.74
31/07/2020,google / organic,15313.94
01/08/2020,google / organic,12291.56
02/08/2020,google / organic,8886.81
03/08/2020,google / organic,15321.23
04/08/2020,google / organic,12254.11
05/08/2020,google / organic,16797.8
06/08/2020,google / organic,17291.14
07/08/2020,google / organic,16558.87
08/08/2020,google / organic,9620.91
09/08/2020,google / organic,11427.41
10/08/2020,google / organic,11635.83
11/08/2020,google / organic,10331.94
12/08/2020,google / organic,9708.32
13/08/2020,google / organic,15213.41
14/08/2020,google / organic,9444.17
15/08/2020,google / organic,18507.59
16/08/2020,google / organic,13792.14
17/08/2020,google / organic,5547.06
18/08/2020,google / organic,10872.38
19/08/2020,google / organic,10234.25
20/08/2020,google / organic,11337.81
21/08/2020,google / organic,17060.97
22/08/2020,google / organic,13632.5
23/08/2020,google / organic,10900.72
24/08/2020,google / organic,10697.83
25/08/2020,google / organic,17047.06
26/08/2020,google / organic,18841.58
27/08/2020,google / organic,13221.03
28/08/2020,google / organic,15484.3
29/08/2020,google / organic,24105.51
30/08/2020,google / organic,14085.45
31/08/2020,google / organic,8253.75
01/09/2020,google / organic,15933.06
02/09/2020,google / organic,13676.28
03/09/2020,google / organic,15996.6
04/09/2020,google / organic,22008.67
05/09/2020,google / organic,19697.93
06/09/2020,google / organic,13338.83
07/09/2020,google / organic,13804.7
08/09/2020,google / organic,13999.18
09/09/2020,google / organic,13140.31
10/09/2020,google / organic,9441.07
11/09/2020,google / organic,17997.14
12/09/2020,google / organic,22600.86
13/09/2020,google / organic,14842.82
14/09/2020,google / organic,15839.06
15/09/2020,google / organic,14569.18
16/09/2020,google / organic,19244.4
17/09/2020,google / organic,16521.86
18/09/2020,google / organic,22622.65
19/09/2020,google / organic,22098.67
20/09/2020,google / organic,20121.35
21/09/2020,google / organic,17505.35
22/09/2020,google / organic,16616.95
23/09/2020,google / organic,17063.81
24/09/2020,google / organic,17344.33
25/09/2020,google / organic,17049.37
26/09/2020,google / organic,18184.22
27/09/2020,google / organic,10590.5
28/09/2020,google / organic,19391.05
29/09/2020,google / organic,6401.31
30/09/2020,google / organic,10679.15
01/10/2020,google / organic,18402.62
02/10/2020,google / organic,25540.86
03/10/2020,google / organic,21595.9
04/10/2020,google / organic,11925.82
05/10/2020,google / organic,14907.57
06/10/2020,google / organic,17844.55
07/10/2020,google / organic,17711.04
08/10/2020,google / organic,17674.02
09/10/2020,google / organic,19269.8
10/10/2020,google / organic,22382.09
11/10/2020,google / organic,14219.56
12/10/2020,google / organic,9107.38
13/10/2020,google / organic,14648.11
14/10/2020,google / organic,16733.91
15/10/2020,google / organic,9780.01
16/10/2020,google / organic,22289.02
17/10/2020,google / organic,22031.28
18/10/2020,google / organic,10663.56
19/10/2020,google / organic,23386.48
