Cust_No,avg_order_size,avg_order_freq,crossbuy,multichannel,per_sale,tenure,return_rate,married,own_home,household_size,loyalty_card,income,age,avg_mktg_cnt,zip_code
1,23.4,2.222222222,3,2,0,3,0.117521368,1,1,1,1,35,47,56,21230
2,34.26037736,6.625,7,2,0.111111111,35,0.281868414,1,1,3,1,140,70,14.91428571,22301
3,43.57564103,4.875,5,2,0.074074074,12,0.27417694,1,0,4,0,35,21,20.08333333,19002
4,26.31666667,0.9,4,2,0.25,9,0.143550771,0,0,1,1,35,62,8.222222222,22304
5,8.269230769,1.083333333,3,1,0.5,40,0,0,0,2,0,140,21,1.35,20124
6,21.5,0.222222222,1,2,0,7,0,0,1,1,1,80,21,2.714285714,22033
7,35.5,0.1,2,1,0,8,0,1,0,1,0,70,86,7.25,8757
8,20.86,0.833333333,3,2,0.153846154,17,0,0,1,1,1,35,70,6.294117647,8109
9,74.5,0.1,1,1,0,14,1,0,1,2,1,35,57,2.5,21122
10,18.375,0.5,1,1,0,3,0.537414966,0,1,8,1,35,21,15.33333333,21208
11,69,0.2,1,1,0,5,0,0,0,3,1,35,21,5.8,21044
12,36.33333333,0.6,3,2,0,4,0,0,1,1,0,100,21,48,22153
13,26.0725,1.818181818,5,2,0.130434783,33,0.142774955,0,0,1,1,75,65,8.242424242,21158
14,38.27469136,3.52173913,4,3,0.244897959,40,0.262365938,1,0,1,1,150,29,8.15,20782
15,23.6,2.5,1,2,0,3,1,0,1,3,1,75,38,2,21061
16,24.75,0.181818182,2,1,0,12,0,1,1,5,1,35,21,5.583333333,19114
17,6,0.222222222,1,1,0,3,0,1,1,1,1,35,50,12.66666667,19053
18,64,0.111111111,1,1,0,21,0,0,0,1,0,125,69,3.238095238,22901
19,18.375,0.266666667,2,2,0,7,0,0,1,8,1,35,34,4.428571429,8873
20,26.45892857,1.555555556,4,1,0.222222222,22,0.173449416,1,1,3,1,105,21,7.181818182,19130
21,4.666666667,0.136363636,1,1,0,7,1,0,1,1,0,75,21,4.285714286,20015
22,18,0.4,1,1,0,3,0,0,1,5,1,165,48,5.333333333,20005
23,25.8,0.65,3,1,0.153846154,9,0,0,1,6,0,85,21,20.44444444,22601
24,32.54299363,9.8125,7,2,0.21,30,0.358868719,1,0,7,1,125,27,14.26666667,22182
25,9.983333333,0.15,1,1,1,33,2.136894825,1,0,1,1,175,84,0.939393939,22151
26,37.44078014,6.409090909,6,1,0.020833333,18,0.289724672,0,0,1,0,35,64,26.44444444,19002
27,37.42142857,0.913043478,4,2,0.25,40,0.06298912,0,0,1,1,175,89,3.975,21036
28,40.26333333,1.666666667,5,3,0.190476191,8,0.226012087,1,1,4,1,175,96,19.625,21403
29,23.62745098,2.684210526,4,1,0.346153846,40,0.299585062,1,1,5,1,120,21,4.6,21212
30,30.14571429,1.590909091,3,2,0.444444444,40,0.127949957,1,1,1,0,110,32,6.575,8361
31,29.38888889,0.529411765,2,1,0,3,0.559546314,0,1,3,1,175,31,40,21029
32,50.59666667,0.789473684,1,2,0.090909091,27,0.059292444,0,0,5,1,70,88,7.555555556,22310
33,14.93,2.5,1,1,0.166666667,3,0.589194017,0,1,1,1,60,58,26,20814
34,35.49583333,1.714285714,2,1,0.1,13,0.084516962,0,1,1,0,35,21,5.769230769,19087
35,24.33333333,3,2,1,0,3,0,0,0,2,1,35,21,20.66666667,21030
36,16.33333333,0.375,1,1,0,8,1,1,0,3,0,35,40,1.75,19130
37,31.20454546,0.55,2,1,0.125,17,0.189366351,0,1,5,1,60,26,8.294117647,8081
38,41.26333333,1.875,5,2,0.074074074,17,0.189029809,0,0,1,1,35,78,9.764705882,22043
39,31.87424242,1.833333333,3,3,0.05,11,0.071302942,0,1,5,1,75,90,19.36363636,22315
40,31.03157895,0.95,3,3,0.611111111,31,0.028748304,0,0,5,0,160,39,4.032258065,22209
41,35.30857143,2.058823529,4,2,0.107142857,17,0.104385823,0,1,5,1,55,36,10.23529412,8332
42,35.55,2.272727273,5,3,0.117647059,22,0.189029536,1,1,3,0,95,34,6.454545455,20814
43,75,0.25,1,1,0,2,0,0,0,1,1,70,21,10,20904
44,16.71307692,0.52,5,2,0.153846154,18,0,0,0,8,0,35,21,3.388888889,22003
45,18,0.333333333,1,1,0,2,0,0,1,6,0,35,64,14,19128
46,28.78703704,1.173913044,2,3,0,19,0.521711161,1,1,8,1,45,21,9.578947368,22205
47,19.375,0.444444444,1,1,0,7,0,1,1,1,1,35,21,7,22601
48,27.86442308,4,3,2,0.027777778,11,0.115255875,0,1,1,1,35,48,26.09090909,19038
49,46.14444444,2.52,6,2,0.150943396,34,0.016167315,1,1,1,1,145,54,12.61764706,20132
50,33.475,1.25,4,2,0.066666667,15,0.082150859,0,1,4,0,60,21,12.46666667,23233
51,24.58333333,0.75,2,1,0,5,1,0,1,8,1,35,93,9.6,22315
52,11.48333333,0.136363636,1,1,0,11,0,0,1,1,1,35,21,0.363636364,20723
53,7.999583333,2.666666667,2,2,0,9,0.515651857,0,1,8,1,65,72,3.222222222,22066
54,32.45,1,3,3,0.47826087,40,0.101254678,0,0,1,0,35,21,3.65,22207
55,36.703125,1.28,3,1,0,22,0.108982546,1,1,4,1,130,60,14.59090909,21090
