Cust_No,avg_order_size,avg_order_freq,crossbuy,multichannel,per_sale,tenure,return_rate,married,own_home,household_size,loyalty_card,income,age,avg_mktg_cnt,zip_code
56,109.99,0.416666667,2,3,0,12,0.036276025,1,0,2,1,35,32,6.416666667,20136
57,32.16666667,0.666666667,2,1,0,4,0,1,0,8,0,130,21,18,22302
58,19,0.25,1,1,0,2,0,1,1,1,0,35,21,18,19053
59,14.81818182,0.6875,2,2,0,16,0,0,1,4,1,175,43,4.375,8873
60,35.16666667,0.571428571,2,3,0,12,0,0,1,4,1,35,24,4.333333333,22003
61,37.29631579,14.61538462,6,3,0.02739726,3,0.197140962,1,0,5,1,70,52,103.3333333,20854
62,49.5,1,1,1,0,2,0,0,0,2,1,110,38,4,21122
63,38.13,1.5,2,2,0,1,0.197569718,0,1,1,1,40,36,121,22182
64,34.12090164,4.518518519,6,1,0,16,0.256140772,0,1,8,1,35,31,27.4375,21122
65,18.58333333,0.75,2,2,0,3,0.174887892,1,0,6,1,35,47,15.66666667,20910
66,36.66666667,0.125,2,1,0,13,0,0,0,1,0,35,21,9.846153846,22554
67,34.8625,0.695652174,3,1,0.6,40,0.116529222,0,0,2,0,65,21,4.625,8057
68,29.95,0.153846154,1,1,1,40,0.5,1,0,1,1,35,65,1.325,21229
69,54,0.153846154,2,1,0,3,0,0,1,1,1,135,73,2,22015
70,124.25,0.181818182,2,1,0,6,0,0,0,1,1,55,21,10.33333333,20118
71,31.32954546,0.956521739,4,2,0.066666667,31,0.127675009,1,0,4,1,35,24,4.580645161,8055
72,26.02916667,2.4,2,2,0.272727273,8,0,1,1,8,1,35,73,7.75,22124
73,25.94736842,2.375,2,1,0,8,0.677484787,0,1,6,1,35,27,15.5,8648
74,31.59098361,3.210526316,5,2,0,7,0.03943852,0,1,7,1,65,21,30.28571429,22182
75,27.5494382,5.5625,6,2,0.206349206,33,0.13414087,1,0,1,1,135,23,12.96969697,7728
76,29.89210526,3.166666667,3,2,0.083333333,5,0.165419491,0,1,1,0,35,42,15.2,21158
77,26.71428571,4.307692308,5,1,0.02631579,12,0.082219251,0,0,1,1,140,21,18.83333333,22903
78,29.07222222,1.35,3,2,0.055555556,9,0.192305242,1,1,8,0,70,87,9.666666667,19010
79,24.64285714,2.333333333,1,1,0,3,0,0,1,5,1,35,90,9.666666667,20855
80,31.89962406,6.333333333,5,2,0.136842105,19,0.319493713,1,1,8,1,35,47,24.63157895,8406
81,23.58333333,1,4,2,0,11,0.232037691,0,1,1,1,115,23,5.545454545,21228
82,16.5,0.6,1,1,0,5,0,0,1,5,1,155,68,3.4,22191
83,6.475,0.285714286,1,1,1,13,0,0,1,3,1,35,49,0.153846154,21228
84,24.79722222,4.235294118,3,2,0.066666667,22,0.895261566,1,0,1,0,65,46,8.727272727,20151
85,25.13181818,1.269230769,2,1,0.631578947,40,0.248990173,1,0,6,0,100,73,4.925,22101
86,5,0.6,1,1,0,3,1,0,1,8,1,55,81,6,22205
87,9.375,0.571428571,1,1,0,2,1.133333333,1,1,1,0,125,59,12,21228
88,36.02892157,4.25,6,3,0.136363636,20,0.292180846,1,0,5,1,75,21,24.3,20002
89,9.875,0.4,1,1,0,2,0,1,1,8,1,35,31,13,21030
90,42.33333333,0.096774194,2,1,0,13,0,0,1,1,1,35,28,7.615384615,21401
91,36.4,0.25,2,1,0.6,40,0,1,1,1,0,45,60,1.55,21076
92,64,0.625,2,1,0,3,0,1,0,1,1,105,21,15.33333333,20175
93,49.5,0.153846154,1,1,0,12,0,0,1,2,1,35,39,4.333333333,19020
94,69,0.125,1,1,0,2,0,1,0,5,1,35,21,14,19047
95,34.55105263,5.066666667,6,3,0.628571429,40,0.043223605,1,1,6,1,35,21,5.05,20814
96,37.97837838,1.947368421,6,2,0.212121212,26,0,1,1,1,1,35,58,11.76923077,21230
97,18.521875,0.695652174,2,3,0.222222222,40,0.128226759,1,0,1,0,160,83,1.175,22554
98,37.25,1.5,2,2,0,1,0.230425056,0,0,1,0,35,85,70,20191
99,34.85028249,5.363636364,6,3,0.087591241,10,0.047004945,0,0,2,1,35,80,52,20853
100,27.75,1.333333333,2,2,0,5,0,0,1,8,1,65,21,11.6,22003
101,125,0.111111111,1,1,0,2,0,0,1,1,0,35,56,22.5,8050
102,21.79,3.333333333,3,2,0.333333333,2,0,1,1,4,1,35,21,16,21114
103,5.5,0.555555556,1,1,0,14,3.563636364,0,1,2,0,85,77,0.428571429,20878
104,25.61836735,7.736842105,7,3,0.50877193,40,0.227674659,1,1,1,1,65,21,10.075,7726
105,19.5,0.047619048,1,1,0,3,0,1,1,3,1,35,77,2.333333333,8215
106,27.34791667,1.263157895,6,1,0.588235294,40,0.182829283,1,1,1,1,165,21,5.075,19096
107,38.67021277,2.473684211,6,2,0,3,0.02090784,0,0,5,1,150,68,99.66666667,23113
108,31.75,0.190476191,3,1,0,17,0,0,1,1,1,35,21,4.352941176,21771
109,24.36363636,0.6875,3,1,0,9,0.098880597,0,1,8,1,50,48,6.555555556,8096
110,46.15657895,2.235294118,5,2,0.068965517,7,0.090082386,1,0,3,0,35,41,29.14285714,22405
111,23.01818182,1.157894737,5,3,0.0625,23,0.155015798,0,0,1,0,170,21,2.652173913,22043
112,34,0.142857143,1,1,0,3,0,1,1,8,0,35,21,15.66666667,20879
113,34.5,0.285714286,1,1,0,2,1,1,1,5,1,35,62,13,7728
114,25.496875,0.551724138,3,3,0.142857143,32,0.514768967,1,1,3,0,80,78,3.15625,19130
115,24,0.052631579,1,1,0,3,0,1,1,4,0,60,21,2.666666667,22180
116,27.125,0.222222222,1,2,0,8,1,1,1,8,1,65,24,3.75,22315
117,31.9625,0.25,2,1,0.75,35,0,1,1,5,1,35,21,0.228571429,20187
118,53.9,0.277777778,2,3,0,13,0,0,0,2,1,50,21,5.769230769,22301
119,37.83333333,0.545454546,1,1,0,10,0.568281938,0,1,1,1,165,21,5.2,21060
120,12,0.047619048,1,1,0,15,0,0,1,1,0,35,27,0.533333333,8030
121,51.45833333,0.75,2,1,0.166666667,11,0,0,0,3,1,40,21,7.090909091,22182
122,13,3,1,1,0,2,0,1,1,1,1,100,21,0,19010
123,13.26666667,0.631578947,3,2,0.166666667,23,0.269158292,1,0,2,0,35,49,1.565217391,23185
124,11.9,2.5,2,1,0,1,0.630252101,1,1,1,0,35,21,38,20815
125,22,0.666666667,3,1,0,2,0,0,1,8,0,35,45,39,20874
126,18.98611111,2.25,2,2,0.333333333,7,0,1,1,1,1,90,21,5.571428571,21044
127,28.28177083,9.6,6,2,0.173913044,13,0.20016206,0,1,8,0,35,36,25.53846154,8055
128,27.5625,1.333333333,2,2,0,2,0,1,1,5,0,110,21,22,8054
129,17,0.166666667,1,1,0,3,0,0,1,3,1,85,51,5.666666667,8077
130,47.23522727,1.62962963,6,2,0.486486487,35,0.132292444,1,1,7,1,70,21,10.11428571,20855
131,30.89838384,4.714285714,6,2,0.344827586,40,0.01306008,1,1,2,1,35,44,10.575,8302
132,28.70492308,2.6,4,3,0.222222222,23,0.325781694,1,0,1,0,110,46,11.73913043,8033
133,24.86896552,3.411764706,4,2,0.048780488,2,0.171935663,1,0,1,1,35,57,104,22046
134,40.96666667,1.363636364,2,2,0.076923077,15,0,0,0,1,0,70,57,8.866666667,21228
135,42.225,1.333333333,2,1,0.75,7,0,0,0,3,1,115,66,4.857142857,20120
136,24.21851852,4.764705882,5,1,0.557377049,25,0.154355916,1,0,6,1,145,28,15.72,8540
137,15.46428571,1.555555556,4,1,0,10,0.565819861,0,1,1,1,65,76,9.6,8721
138,18.875,0.444444444,1,1,0,5,0,0,1,6,0,35,21,8,23233
139,21.7,0.384615385,1,1,0,2,0,0,0,8,0,35,69,22.5,20854
140,63,0.125,2,1,1,40,0,1,1,1,1,45,22,1.35,20164
141,16.33333333,0.15,1,1,0,18,1,0,1,1,1,35,40,2.444444444,21122
142,44,0.0625,1,1,0,4,0,1,0,1,0,35,56,8,22314
143,44.25,0.166666667,1,1,0,12,0,0,1,1,1,35,21,3.25,21230
144,99,0.222222222,2,2,0,5,0,0,0,5,0,75,34,12.6,18940
145,18.94038462,1.130434783,4,3,0,23,0.330998071,1,1,2,0,160,45,5.391304348,22032
146,32,0.266666667,1,1,0,10,0,0,1,1,1,60,21,6.9,19010
147,34.25,0.1,1,1,0,18,0,1,0,1,0,110,21,4.111111111,21014
148,24.3125,0.695652174,4,1,0,16,0.102827764,0,0,3,1,35,90,15,8742
149,26.91666667,0.285714286,2,1,0,8,0,0,1,4,0,90,65,13.875,21093
150,15.08333333,3,2,1,0,2,0,0,1,2,0,100,52,8,22193
151,53.4,0.277777778,3,1,0.2,23,0,1,1,1,1,35,21,4.47826087,20715
152,22.75,1.5,2,2,0,3,0,1,1,3,0,140,74,3,8083
153,16.125,1,2,1,0,5,0.581395349,0,1,1,1,115,48,7,19147
154,31.69354839,2.214285714,3,1,0.071428571,7,0,0,1,1,1,35,71,25.85714286,21093
155,17.1,0.208333333,1,2,0,8,0,0,1,8,0,90,21,12,21403
156,9.206896552,1.52631579,4,1,0.555555556,40,0.097378277,1,0,3,1,150,79,3.25,19004
157,69,0.076923077,1,1,0,5,0,0,0,1,0,85,46,11.6,20007
158,49,0.5,1,1,0,1,0,0,0,1,1,35,62,7,21131
159,47.125,0.4,2,1,0,4,1,0,0,2,0,35,51,13.25,20724
160,19.75,1.333333333,1,1,0,3,0,1,1,1,1,35,21,6,21234
161,21.88518519,2.076923077,5,3,0.096774194,26,0.297004569,1,0,1,1,110,74,6.192307692,21030
162,35.43863636,2.2,3,3,0.235294118,12,0.101327519,0,1,2,0,120,21,8.333333333,22601
163,45.75,0.571428571,2,1,0,5,0,0,0,5,0,75,51,7.2,20720
164,41.08333333,0.428571429,4,2,0,7,0.219066937,1,1,5,0,45,73,20.42857143,22152
165,36.47857143,1.076923077,5,2,0.115384615,40,0.058742902,1,0,1,0,85,79,3,20882
166,49.5,0.047619048,1,1,0,11,0,0,0,1,0,80,21,3.636363636,21108
167,98.33333333,0.130434783,2,1,0,3,0,1,0,3,1,95,26,15.33333333,18901
168,39.5,0.2,1,1,0,2,0,0,1,1,0,35,21,12,21015
169,13.17142857,7,4,2,0.428571429,6,0,1,1,4,0,50,33,0.666666667,21076
170,33.29920635,3.15,4,3,0.196428571,23,0.031460781,1,0,1,1,135,52,16.04347826,22030
171,54.95,0.071428571,1,1,1,40,0,1,0,7,1,35,21,0.825,8757
172,32.9,1.5,5,2,0.375,21,0.06585613,1,0,1,1,105,31,5.285714286,22315
173,29,0.043478261,1,1,0,15,0,1,1,1,1,110,59,3.733333333,22911
174,89.5,0.181818182,1,1,0,7,1,1,0,1,1,35,93,16.57142857,22701
175,9.75,0.571428571,1,1,0,4,0,0,1,8,0,90,21,6,8091
176,39.5,0.5,2,2,0,8,0.503164557,0,0,2,0,35,71,7.5,20009
177,26.13636364,0.916666667,2,2,0,13,0,0,1,1,0,35,21,9.307692308,22192
178,22.66666667,0.3,1,1,0,4,0.5,0,1,1,0,35,21,15,8081
179,34.33333333,0.25,1,1,0,18,0,1,0,4,0,125,47,3.944444444,8008
180,30.75,0.307692308,2,2,0,4,0,1,1,1,0,35,21,8.25,20165
181,39.78222222,4.5,5,3,0.084337349,10,0.027636577,1,0,3,1,100,59,26.2,22102
182,33.68589744,7.8,6,2,0.073529412,7,0.151474786,0,0,5,1,35,52,45.42857143,21104
183,13.125,0.333333333,2,1,0,23,0,1,0,2,0,105,35,2.391304348,20850
184,29.5,1,1,1,0,2,0,0,1,1,0,55,29,1,20186
185,52.80769231,0.722222222,4,2,0.111111111,18,0.071376548,1,0,1,1,35,60,7.666666667,18901
186,39.975,0.142857143,1,1,0,9,0,0,0,2,1,80,56,7.555555556,20904
187,103.5,0.222222222,1,2,0,2,0,0,1,2,1,35,21,28,8610
188,11.88888889,1.8,1,1,0,3,0,0,0,1,0,120,21,7.666666667,23185
189,46.77272727,1.692307692,4,1,0.076923077,8,0.259475219,0,0,1,1,35,59,29.875,20187
190,26.2375,4,2,1,0.285714286,6,0.171510243,1,1,7,0,85,37,2.5,22601
191,16.35,0.416666667,3,1,0,12,0.342507645,0,1,5,1,105,86,10.58333333,21133
192,38.34,0.52631579,2,2,0.6,40,0,1,1,4,1,140,24,4.225,22015
193,40.07457627,4.916666667,6,2,0.019607843,3,0.018609372,0,1,4,1,35,21,118,8540
194,36.5,0.2,2,1,0,7,0,0,0,1,0,35,37,13.85714286,22602
195,13.90625,0.666666667,2,1,0,16,0,1,1,1,0,35,84,9.875,22554
196,70.92857143,0.411764706,4,2,0,15,0.179254784,1,0,2,0,35,33,7.466666667,19446
197,33.79690722,6.0625,5,3,0.064516129,15,0.31949486,1,1,6,0,35,21,18.8,20024
198,22.40833333,3,4,1,0.4,9,0,0,1,4,0,105,59,0.333333333,20016
199,27.84565217,3.285714286,3,3,0,2,0.170973534,0,1,2,1,35,21,36,21784
200,16.45769231,1.444444444,3,1,0.2,5,0.948586118,1,1,5,0,50,57,28,8318
201,44.85662651,2.677419355,6,3,0.035714286,30,0.194528753,1,0,3,1,145,31,13.36666667,20815
202,26.64285714,0.913043478,4,2,0,18,0,1,1,3,0,75,55,11.66666667,19010
203,35.66333333,0.681818182,5,3,0.272727273,22,0.091597346,1,1,4,0,155,47,4.909090909,22026
204,16.275,1.333333333,3,3,0.5,18,0,0,1,1,0,60,40,1.888888889,22042
205,46,0.2,1,1,0,11,0.5,0,0,4,0,120,26,0.090909091,21090
206,41.5,0.8,3,1,0,10,0,1,0,6,0,70,21,17.4,22310
207,23.87557252,7.277777778,6,2,0.139534884,9,0.211497266,1,1,1,1,145,30,30,22102
208,33,0.5,1,1,0,4,0,0,0,4,0,70,21,29.25,22314
209,26.75,1.2,2,1,0,3,0,1,1,1,1,60,21,6.333333333,22602
210,44,0.03125,1,1,0,32,0,0,0,3,1,35,64,0.5,8724
211,69,0.166666667,1,1,0,2,0,1,1,1,1,35,21,4,20170
212,19.75,0.083333333,1,1,0,23,0,0,0,1,1,35,56,0.826086957,19130
213,12.5,0.428571429,1,1,0,6,0,0,1,3,0,35,21,2.833333333,22043
214,25.21428571,1,3,2,0,2,0,0,1,7,1,155,27,33,21035
215,23.14934641,10.2,7,2,0.191489362,18,0.268489631,0,1,5,1,125,44,27.16666667,7726
216,57.83333333,0.6,3,1,0,6,0,0,0,2,0,35,63,6.166666667,8028
217,30.63636364,0.407407407,2,1,0,22,0.189910979,1,1,1,0,95,66,3.636363636,8083
218,13.66666667,0.9,2,2,0,8,0,0,1,1,0,35,29,11.25,8036
219,22.75,0.363636364,1,1,0,8,0.318681319,0,1,1,1,110,38,8.875,8204
220,29.35294118,0.566666667,4,1,0.571428571,39,0.114228457,1,0,1,1,140,66,3.717948718,23113
221,22.625,1.2,3,2,0.384615385,40,0.65694291,1,0,1,0,40,24,1.975,22181
222,24.92857143,1,1,2,0,6,0.716332378,1,1,1,1,140,45,6,20904
223,28.5,0.25,1,1,0,4,0,0,1,8,0,35,80,13,21060
224,26.33333333,0.428571429,1,2,0,3,0,0,1,7,0,140,64,13.66666667,21035
225,52.45,0.3125,2,1,0,7,0,0,0,1,0,130,21,18.42857143,22032
226,26.35714286,0.636363636,1,2,0,11,0,1,1,6,1,35,83,4.909090909,21702
227,16,0.428571429,1,1,0,8,0,0,1,8,0,35,40,0.875,8053
228,32.49868421,1.583333333,3,2,0.032258065,16,0.168022997,0,1,2,1,70,21,27.0625,18901
229,70.66666667,0.6,2,2,0.142857143,17,0.52672956,0,1,4,1,60,21,5.470588235,8083
230,42.83333333,5,3,3,0,2,0.154085603,0,1,2,0,95,21,20,22315
231,19.75,0.333333333,1,1,0,2,0,1,1,2,1,65,33,10,19115
232,25.98298969,4.041666667,5,2,0.080645161,16,0.353720713,1,1,1,0,75,29,21.6875,20816
233,31.64583333,0.52173913,2,2,0,20,0,1,0,2,0,140,65,3.4,22193
234,43.61818182,1.222222222,2,1,0.096774194,12,0,0,0,1,1,35,63,17.58333333,20016
235,129,0.083333333,1,1,0,4,0,1,1,1,1,35,37,12.5,20874
236,26,0.25,1,1,0,2,0,0,1,1,1,35,21,9,21403
237,46.2,0.416666667,2,2,0,2,0,0,0,1,1,35,21,35,19083
238,17.28378378,1.681818182,2,1,0,1,0.444096951,0,0,1,1,80,75,85,19087
239,28.22751678,6.208333333,6,3,0.131868132,33,0.488718229,1,1,1,0,70,21,14.45454545,8540
240,39.5,1,1,1,0,1,0,0,1,4,1,35,21,4,8360
241,29,1,1,1,0,2,0,0,1,1,0,35,21,1,20904
242,19.7,0.555555556,2,1,0,16,0.192893401,1,1,3,0,35,34,5.75,8077
243,33.73846154,3,4,2,0.133333333,5,0.155418757,1,1,1,1,95,68,57.6,21054
244,30.6,0.666666667,4,2,0.4,40,0,1,1,1,1,160,40,1.325,8628
245,27.68282828,5.210526316,5,1,0.081081081,28,0.173301467,1,0,3,1,35,28,12.25,8210
246,21.8,0.2,2,1,0.333333333,24,0,1,0,1,1,100,65,2.541666667,22407
247,31.79666667,1.25,2,2,0.111111111,7,0.417234511,0,0,2,1,35,21,19.28571429,20852
248,43.40288462,2.260869565,6,2,0.25,40,0.024369171,1,0,1,1,120,21,7.35,21401
249,42.21298701,5.923076923,6,2,0.043478261,17,0.200098449,0,0,2,0,35,24,25,22901
250,78.66666667,0.6,1,1,0,2,0,0,1,1,1,40,21,25.5,21230
251,41.13,4.615384615,5,3,0.051282051,14,0.52129427,1,0,3,1,130,21,9.071428571,22044
252,12.75,1.333333333,1,1,0,3,0,0,1,1,0,35,21,6.666666667,21104
253,38,0.027777778,1,1,1,40,0,0,0,1,1,45,82,1.8,21157
254,23.04545455,0.916666667,4,2,0,5,0.08678501,0,1,8,0,65,45,18.6,8050
255,89,0.058823529,1,1,0,13,0,1,0,1,1,35,70,3.076923077,8701
256,36,0.058823529,1,1,0,8,0,1,0,6,0,115,48,4.75,21228
257,32,0.125,1,1,0,2,0,0,1,6,1,40,91,15.5,8053
258,26.99482143,11.66666667,6,3,0.207317073,40,0.593698527,1,1,2,1,165,21,11.8,19010
259,64,0.090909091,1,1,0,10,0,0,1,2,0,55,21,0.6,19046
260,37.7,2.928571429,4,2,0.151515152,20,0.200556382,1,0,2,1,35,96,15.6,8057
261,19.4,0.625,2,1,0,7,0,1,0,1,0,35,41,5.857142857,22601
262,41.58974359,1.95,3,3,0,18,0.029901356,0,0,1,1,35,21,7.833333333,22207
263,39,0.545454546,3,2,0,10,0,0,0,1,1,90,21,5.4,21012
264,14.66666667,3,1,1,0,1,0,1,1,8,0,35,77,6,20707
265,23.83333333,0.818181818,4,2,0.5,40,0.247086247,1,0,3,1,155,52,5.075,18901
266,25.11470588,2,4,1,0.578947368,40,0.543330601,1,0,7,0,120,34,6.825,8873
267,30.15967742,1.55,4,2,0.076923077,19,0.063104979,1,1,1,0,45,80,13.42105263,20817
268,31.89285714,0.7,3,3,0,3,0.0537514,0,0,1,1,35,34,84,22042
269,31.15625,0.761904762,5,2,0,19,0,1,1,1,0,35,68,7.947368421,23233
270,9.875,0.4,1,1,0,3,0,0,1,1,1,90,21,13,19111
271,21.345,0.476190476,4,2,0.125,22,0.185055048,1,0,1,0,110,21,3.045454545,21286
272,22.11764706,3.777777778,4,2,0,4,0.658244681,1,0,5,1,40,21,48.5,21037
273,16.33333333,0.115384615,1,1,0,5,0,1,1,1,1,90,78,14.6,21228
274,34.02931035,0.935483871,6,3,0.074074074,3,0.049652936,0,0,1,1,150,29,67.66666667,23229
275,23.85714286,0.333333333,2,1,0,9,0,1,1,1,0,35,21,10.77777778,22182
276,24,0.1,1,1,0,2,0,1,1,1,0,145,37,22.5,23113
277,8.85,0.769230769,1,2,0,4,1.09039548,0,1,1,0,155,28,14.25,8318
278,24.46825397,2.333333333,6,2,0.222222222,40,0.158936101,1,1,1,1,35,42,6.85,22152
279,22.35833333,3.3,2,2,0.18,8,0.034561041,0,1,3,1,35,84,26.25,21230
280,47.775,2.857142857,2,2,0,5,0.26007326,1,0,1,1,90,56,19.2,22180
281,17.4375,1.6,1,1,0,4,0,1,1,4,0,35,21,13.75,20902
282,38.875,4,4,2,0,2,0.096463023,0,0,7,0,125,60,25,19128
283,57.3,1,2,2,0,1,0,1,0,1,1,35,21,39,22101
284,34,0.055555556,1,1,0,6,0,0,1,3,0,130,21,12.83333333,21286
285,40.51,1.428571429,4,2,0.315789474,9,0,0,0,2,0,175,85,35.22222222,21035
286,31.52794118,3.090909091,4,2,0,6,0.219226643,1,0,1,0,35,21,35.83333333,23233
287,27.58333333,1.5,3,2,0,6,0.45468278,0,1,3,0,50,21,13.16666667,21113
288,29,0.047619048,1,1,0,7,0,0,1,1,1,120,21,3.857142857,7728
289,22.5,1,2,1,0,4,0,0,1,2,1,35,50,8.75,19087
290,26.5,0.166666667,1,2,0,15,0,0,0,1,1,100,67,3.6,22003
291,28.71969697,2.2,6,3,0.307692308,40,0,1,0,1,0,85,23,5.225,19128
292,25.64576271,2.681818182,1,3,0.369565217,40,0.154946798,1,0,1,1,75,72,4.025,20723
293,29,0.333333333,3,2,0,3,0,0,1,1,0,35,85,2.666666667,8053
294,24.61875,1.523809524,3,2,0.5,32,0.350723534,1,0,1,1,35,23,7,21771
295,21.48333333,0.428571429,1,2,0.333333333,19,0,1,1,1,1,135,59,1.526315789,20744
296,42.3,2.5,3,1,0,3,0,0,0,1,1,50,40,5.333333333,8021
297,43.17777778,1.928571429,5,2,0.2,37,0.031737862,1,0,3,0,70,21,4.432432432,8057
298,21.35106383,2.764705882,5,2,0.342857143,26,0,1,0,1,1,120,32,10,20015
299,50.58333333,0.352941177,3,2,0,18,0,1,1,1,1,35,21,2.222222222,8057
300,29,0.2,1,1,0,1,0,0,1,5,0,60,88,29,8332
301,50.25,0.307692308,2,1,0,4,0,1,0,2,0,105,23,31.75,20877
302,25.794,2.777777778,4,2,0.125,13,0.207722726,0,0,7,1,35,30,13.46153846,21401
303,33.14285714,0.583333333,2,1,0,10,0.202586207,1,1,1,1,130,70,12.2,21794
304,13.63571429,0.35,2,2,0,11,0,1,1,4,1,35,21,5.090909091,21042
305,45.375,0.222222222,2,2,0,10,0,0,1,1,1,35,53,7.8,22066
306,31.94166667,0.947368421,2,1,0.071428571,9,0,0,1,6,0,35,34,17.11111111,8724
307,24.34210526,2.235294118,5,2,0.04,21,0.368648649,0,0,1,0,35,61,8.476190476,20850
308,28.84386793,4.416666667,5,2,0.348837209,40,0.074244877,1,0,3,0,155,92,13.05,19046
309,35,0.25,1,1,0,2,0,0,1,6,0,145,23,14,19114
